Ref,Val,Package,PosX,PosY,Rot,Side
"J2","1S CELL / VH","JST_VH_B2P-VH_1x02_P3.96mm_Vertical",38.520000,-60.950000,0.000000,top
"J3","C.5 SYS_IN / XH","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",11.750000,-59.475000,0.000000,top
"J4","BATTERY NTC","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",28.000000,-59.450000,0.000000,top
"L1","1uH","L_Coilcraft_XxL4020",43.000000,-85.750000,180.000000,top
"L2","1uH","L_Coilcraft_XxL4020",28.000000,-85.750000,180.000000,top
"L3","1uH","L_Coilcraft_XxL4020",13.000000,-85.750000,180.000000,top
"LED1","POWER GOOD","LED_1206_3216Metric",17.000000,-98.250000,-90.000000,top
"LED2","CHARGING","LED_1206_3216Metric",26.250000,-90.500000,180.000000,top
"Q1","FS8205","FS8205",45.500000,-68.500000,180.000000,top
"Q2","FS8205","FS8205",40.500000,-68.500000,180.000000,top
"Q3","FS8205","FS8205",35.500000,-68.500000,180.000000,top
"Q4","AO3400A","SOT-23",43.500000,-93.000000,-90.000000,top
"Q5","AO3400A","SOT-23",10.500000,-100.250000,-90.000000,top
"R1","887k","R_0603_1608Metric",36.000000,-93.000000,180.000000,top
"R2","4.7k","R_0603_1608Metric",36.000000,-94.750000,180.000000,top
"R3","10k","R_0603_1608Metric",36.000000,-91.250000,180.000000,top
"R4","2.94k","R_0603_1608Metric",22.000000,-93.750000,180.000000,top
"R5","1.3k","R_0603_1608Metric",22.000000,-92.000000,180.000000,top
"R6","4.7k","R_0603_1608Metric",22.000000,-90.250000,180.000000,top
"R7","4.7k","R_0603_1608Metric",19.250000,-100.500000,-90.000000,top
"R8","470","R_0603_1608Metric",35.750000,-71.250000,180.000000,top
"R9","1k","R_0603_1608Metric",34.750000,-73.750000,-90.000000,top
"R10","182k","R_0603_1608Metric",15.500000,-89.750000,180.000000,top
"R11","100k","R_0603_1608Metric",14.250000,-96.000000,-90.000000,top
"R12","620","R_0603_1608Metric",11.750000,-96.500000,180.000000,top
"R13","100k","R_0603_1608Metric",18.750000,-89.750000,180.000000,top
"R14","10k","R_0603_1608Metric",14.000000,-98.500000,180.000000,top
"R20","909k","R_0603_1608Metric",37.700000,-79.000000,-90.000000,top
"R21","101k","R_0603_1608Metric",35.900000,-79.000000,90.000000,top
"R30","560k","R_0603_1608Metric",22.700000,-79.000000,-90.000000,top
"R31","100k","R_0603_1608Metric",20.900000,-79.000000,90.000000,top
"R40","270k","R_0603_1608Metric",7.700000,-79.000000,-90.000000,top
"R41","100k","R_0603_1608Metric",5.900000,-79.000000,90.000000,top
"R43","270k","R_0603_1608Metric",4.500000,-76.500000,180.000000,top
"R50","470k","R_0603_1608Metric",24.000000,-64.500000,180.000000,top
"R51","100k","R_0603_1608Metric",19.750000,-68.000000,-90.000000,top
"R52","100","R_0603_1608Metric",28.250000,-67.500000,-90.000000,top
"R53","100","R_0603_1608Metric",27.250000,-65.000000,180.000000,top
"R54","100","R_0603_1608Metric",20.750000,-65.000000,180.000000,top
"R60","10k","R_0603_1608Metric",5.500000,-71.500000,180.000000,top
"R61","1060k","R_0603_1608Metric",12.000000,-69.500000,180.000000,top
"R62","100k","R_0603_1608Metric",13.750000,-72.000000,-90.000000,top
"R63","665k","R_0603_1608Metric",4.500000,-74.000000,-90.000000,top
"R64","100k","R_0603_1608Metric",12.000000,-67.750000,180.000000,top
"R65","649k","R_0603_1608Metric",4.750000,-69.000000,-90.000000,top
"R66","100k","R_0603_1608Metric",14.500000,-74.500000,180.000000,top
"R70","19.2k","R_0603_1608Metric",31.000000,-92.500000,180.000000,top
"R71","634","R_0603_1608Metric",31.500000,-99.750000,180.000000,top
"R72","100k","R_0603_1608Metric",30.500000,-90.750000,180.000000,top
"R73","100k","R_0603_1608Metric",25.000000,-101.000000,-90.000000,top
"R74","31.6k","R_0603_1608Metric",16.750000,-101.750000,180.000000,top
"R75","20k","R_0603_1608Metric",14.250000,-101.000000,-90.000000,top
"SW1","OFF / ON","SW_SPDT_CK_JS102011SAQN",4.875000,-93.000000,-90.000000,top
"U1","BQ24075TRGTR","VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",23.000000,-97.000000,180.000000,top
"U2","DW01A / H&M","SOT-23-6",43.000000,-72.500000,180.000000,top
"U3","TUSB320LAIRWBR","Texas_X2QFN-12_1.6x1.6mm_P0.4mm",40.000000,-93.000000,180.000000,top
"U4","TPS259530DSGR","Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",15.000000,-93.000000,180.000000,top
"U5","TPS63060DSCR","Texas_S-PWSON-N10",43.000000,-81.000000,180.000000,top
"U6","TPS63060DSCR","Texas_S-PWSON-N10",28.000000,-81.000000,180.000000,top
"U7","TPS63060DSCR","Texas_S-PWSON-N10",13.000000,-81.000000,180.000000,top
"U8","TPS22918DBVR","SOT-23-6",29.000000,-71.000000,180.000000,top
"U9","TPS22918DBVR","SOT-23-6",24.000000,-71.000000,180.000000,top
"U10","TPS22918DBVR","SOT-23-6",19.000000,-72.000000,180.000000,top
"U11","SN74AUP1G17DBVR","SOT-23-5",8.000000,-68.000000,180.000000,top
"U12","TPS386000RGPR","Texas_RGP0020D_VQFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",10.000000,-73.200000,180.000000,top
"U13","TPS22950YBHR","TPS22950_YBH",28.000000,-99.500000,180.000000,top
"U14","TLV75533PDBVR","SOT-23-5",31.000000,-97.000000,180.000000,top
